# TIA-102.BAAA-B annex_a2_hdu_transmit_bit_order.csv -- HDU Transmit Bit Order
# Source: TIA-102.BAAA-B PDF, Annex A, page(s) 52-57
# Extracted from pdftotext -layout output with verification:
#   Symbol coverage: 0..395 (396 rows, complete with no gaps)
# Convention: symbol=dibit index in transmitted order; bit1=MSB of dibit, bit0=LSB
# Field names: FS=Frame Sync, NID=Network ID, NAC, DUID, BCH_parity,
#   SS=Status Symbol, IMBE codewords c_0..c_7, Short_Hamm_parity,
#   Short_Golay_parity, Extend_Golay_parity, RS_parity, LC_format,
#   MFID, LC_information, MI, ALGID, KID, LSD_info, cyclic_parity
symbol,field,bit1,bit0
318,Status 8,RS_parity_7(1),RS_parity_7(0)
319,Status 8,Short_Golay_parity(11),Short_Golay_parity(10)
320,Status 8,Short_Golay_parity(9),Short_Golay_parity(8)
321,Status 8,Short_Golay_parity(7),Short_Golay_parity(6)
322,Status 8,Short_Golay_parity(5),Short_Golay_parity(4)
323,Status 9,SS(1),SS(0)
324,Status 9,Short_Golay_parity(3),Short_Golay_parity(2)
325,Status 9,Short_Golay_parity(1),Short_Golay_parity(0)
326,Status 9,RS_parity_6(5),RS_parity_6(4)
327,Status 9,RS_parity_6(3),RS_parity_6(2)
328,Status 9,RS_parity_6(1),RS_parity_6(0)
329,Status 9,Short_Golay_parity(11),Short_Golay_parity(10)
330,Status 9,Short_Golay_parity(9),Short_Golay_parity(8)
331,Status 9,Short_Golay_parity(7),Short_Golay_parity(6)
332,Status 9,Short_Golay_parity(5),Short_Golay_parity(4)
333,Status 9,Short_Golay_parity(3),Short_Golay_parity(2)
334,Status 9,Short_Golay_parity(1),Short_Golay_parity(0)
335,Status 9,RS_parity_5(5),RS_parity_5(4)
336,Status 9,RS_parity_5(3),RS_parity_5(2)
337,Status 9,RS_parity_5(1),RS_parity_5(0)
338,Status 9,Short_Golay_parity(11),Short_Golay_parity(10)
339,Status 9,Short_Golay_parity(9),Short_Golay_parity(8)
340,Status 9,Short_Golay_parity(7),Short_Golay_parity(6)
341,Status 9,Short_Golay_parity(5),Short_Golay_parity(4)
342,Status 9,Short_Golay_parity(3),Short_Golay_parity(2)
343,Status 9,Short_Golay_parity(1),Short_Golay_parity(0)
344,Status 9,RS_parity_4(5),RS_parity_4(4)
345,Status 9,RS_parity_4(3),RS_parity_4(2)
346,Status 9,RS_parity_4(1),RS_parity_4(0)
347,Status 9,Short_Golay_parity(11),Short_Golay_parity(10)
348,Status 9,Short_Golay_parity(9),Short_Golay_parity(8)
349,Status 9,Short_Golay_parity(7),Short_Golay_parity(6)
350,Status 9,Short_Golay_parity(5),Short_Golay_parity(4)
351,Status 9,Short_Golay_parity(3),Short_Golay_parity(2)
352,Status 9,Short_Golay_parity(1),Short_Golay_parity(0)
353,Status 9,RS_parity_3(5),RS_parity_3(4)
354,Status 9,RS_parity_3(3),RS_parity_3(2)
355,Status 9,RS_parity_3(1),RS_parity_3(0)
356,Status 9,Short_Golay_parity(11),Short_Golay_parity(10)
357,Status 9,Short_Golay_parity(9),Short_Golay_parity(8)
358,Status 9,Short_Golay_parity(7),Short_Golay_parity(6)
359,Status 10,SS(1),SS(0)
360,Status 10,Short_Golay_parity(5),Short_Golay_parity(4)
361,Status 10,Short_Golay_parity(3),Short_Golay_parity(2)
362,Status 10,Short_Golay_parity(1),Short_Golay_parity(0)
363,Status 10,RS_parity_2(5),RS_parity_2(4)
364,Status 10,RS_parity_2(3),RS_parity_2(2)
365,Status 10,RS_parity_2(1),RS_parity_2(0)
366,Status 10,Short_Golay_parity(11),Short_Golay_parity(10)
367,Status 10,Short_Golay_parity(9),Short_Golay_parity(8)
368,Status 10,Short_Golay_parity(7),Short_Golay_parity(6)
369,Status 10,Short_Golay_parity(5),Short_Golay_parity(4)
370,Status 10,Short_Golay_parity(3),Short_Golay_parity(2)
371,Status 10,Short_Golay_parity(1),Short_Golay_parity(0)
372,Status 10,RS_parity_1(5),RS_parity_1(4)
373,Status 10,RS_parity_1(3),RS_parity_1(2)
374,Status 10,RS_parity_1(1),RS_parity_1(0)
375,Status 10,Short_Golay_parity(11),Short_Golay_parity(10)
376,Status 10,Short_Golay_parity(9),Short_Golay_parity(8)
377,Status 10,Short_Golay_parity(7),Short_Golay_parity(6)
378,Status 10,Short_Golay_parity(5),Short_Golay_parity(4)
379,Status 10,Short_Golay_parity(3),Short_Golay_parity(2)
380,Status 10,Short_Golay_parity(1),Short_Golay_parity(0)
381,Status 10,RS_parity_0(5),RS_parity_0(4)
382,Status 10,RS_parity_0(3),RS_parity_0(2)
383,Status 10,RS_parity_0(1),RS_parity_0(0)
384,Status 10,Short_Golay_parity(11),Short_Golay_parity(10)
385,Status 10,Short_Golay_parity(9),Short_Golay_parity(8)
386,Status 10,Short_Golay_parity(7),Short_Golay_parity(6)
387,Status 10,Short_Golay_parity(5),Short_Golay_parity(4)
388,Status 10,Short_Golay_parity(3),Short_Golay_parity(2)
389,Status 10,Short_Golay_parity(1),Short_Golay_parity(0)
390,Nulls,0,0
391,Nulls,0,0
392,Nulls,0,0
393,Nulls,0,0
394,Nulls,0,0
395,Status 11,SS(1),SS(0)
